KPN_RS00845	GO:0015628,GO:0015627
KPN_RS00850	GO:0015628,GO:0015627
KPN_RS00860	GO:0015628,GO:0015627
KPN_RS00870	GO:0005983,GO:0051678,GO:0051060
KPN_RS00895	GO:0009252,GO:0046677,GO:0008658,GO:0008955,GO:0009274
KPN_RS00900	GO:0015891,GO:0015344,GO:0038023,GO:0009279
KPN_RS00905	GO:0005524
KPN_RS00915	GO:0022857
KPN_RS00920	GO:0006779,GO:0042286,GO:0005737
KPN_RS00925	GO:0006821,GO:0055085,GO:0005247,GO:0005886
KPN_RS00930	GO:0016226,GO:0051536
KPN_RS00940	GO:0005524,GO:0031419
KPN_RS00945	GO:0019509,GO:0008782,GO:0008930
KPN_RS00950	GO:0006203,GO:0000287,GO:0008832
KPN_RS00970	GO:0009089,GO:0008666
KPN_RS00975	GO:0006807,GO:0016779
KPN_RS00980	GO:0036211
KPN_RS00985	GO:0006412,GO:0003735,GO:0000314,GO:0022627
KPN_RS00990	GO:0006414,GO:0003746
KPN_RS00995	GO:0015949,GO:0033862
KPN_RS01000	GO:0006412,GO:0008135,GO:0005737
KPN_RS01005	GO:0008299,GO:0005515,GO:0030604,GO:0046872,GO:0070402
KPN_RS01010	GO:0043164,GO:0002094,GO:0008834
KPN_RS01015	GO:0016772
KPN_RS01020	GO:0006508,GO:0004222,GO:0005515,GO:0016020
KPN_RS01025	GO:0009279
KPN_RS01035	GO:0009245,GO:0016410
KPN_RS01045	GO:0008610,GO:0008780
KPN_RS01050	GO:0009245,GO:0008915
KPN_RS01055	GO:0003723,GO:0004523
KPN_RS01060	GO:0006260,GO:0003676,GO:0008408
KPN_RS01065	GO:0006633,GO:0003989,GO:0009317
KPN_RS01080	GO:0008033,GO:0000166,GO:0005524,GO:0016879
KPN_RS01100	GO:0006415,GO:0003747
KPN_RS01115	GO:0006433,GO:0004827,GO:0005737
KPN_RS01120	GO:0006400,GO:0008757,GO:0005737
KPN_RS01140	GO:0048473,GO:0005524,GO:0033232,GO:0009898,GO:0055052
KPN_RS01145	GO:0005975,GO:0016791
KPN_RS01180	GO:0047834
KPN_RS01185	GO:0006355,GO:0003700
KPN_RS01190	GO:0055085,GO:0022857,GO:0005886,GO:0016020
KPN_RS01200	GO:0008168,GO:0008757
KPN_RS01205	GO:0000270,GO:0008933,GO:0016020
KPN_RS01210	GO:0019243,GO:0004416
KPN_RS01215	GO:0032259,GO:0008168,GO:0008757
KPN_RS01220	GO:0003676,GO:0004523
KPN_RS01225	GO:0006260,GO:0003677,GO:0003887
KPN_RS01235	GO:0006355,GO:0003700
KPN_RS01245	GO:0006807
KPN_RS01250	GO:0033539,GO:0003995,GO:0050660
KPN_RS01255	GO:1901135,GO:0008968
KPN_RS01260	GO:0006541,GO:0016740
KPN_RS01275	GO:0006814,GO:0016655
KPN_RS01280	GO:0022904,GO:0055085,GO:0010181,GO:0016655,GO:0016020
KPN_RS01285	GO:0006814,GO:0016655,GO:0016020
KPN_RS01290	GO:0016655,GO:0016020
KPN_RS01295	GO:0006814,GO:0016655
KPN_RS01300	GO:0006814,GO:0016655
KPN_RS01310	GO:0006629,GO:0008081
KPN_RS01315	GO:0006281,GO:0003684,GO:0003887
KPN_RS01325	GO:0006508,GO:0016787
KPN_RS01330	GO:0009116,GO:0000310
KPN_RS01335	GO:0016788
KPN_RS01340	GO:0045893
KPN_RS01345	GO:0006355,GO:0003700
KPN_RS01350	GO:0006865,GO:0015185,GO:0016020
KPN_RS01355	GO:0009448,GO:0003867,GO:0030170
KPN_RS01360	GO:0009450,GO:0009013
KPN_RS01365	GO:0016491
KPN_RS01370	GO:0050498
KPN_RS01380	GO:0008168,GO:1904047
KPN_RS01385	GO:0004519
KPN_RS01405	GO:0071555,GO:0030288
KPN_RS01410	GO:0007155,GO:0009289
KPN_RS01435	GO:0044384
KPN_RS01450	GO:0006313,GO:0004803
KPN_RS01465	GO:0016787
KPN_RS01470	GO:0007155,GO:0009289
KPN_RS01475	GO:0061077
KPN_RS01480	GO:0009297,GO:0015473
KPN_RS01500	GO:0006561,GO:0004350
KPN_RS01505	GO:0006561,GO:0004349
KPN_RS01515	GO:0034220,GO:0015288,GO:0016020
KPN_RS30280	GO:0055085,GO:0005215
KPN_RS01530	GO:0016311,GO:0016791,GO:0046872
KPN_RS01540	GO:0015716,GO:0015416,GO:0005886,GO:0055052
KPN_RS01545	GO:0015716,GO:0015416,GO:0005886,GO:0055052
KPN_RS01550	GO:0015716,GO:0043190
KPN_RS01555	GO:0015716,GO:0005524,GO:0015416,GO:0009898,GO:0055052
KPN_RS01560	GO:0006355
KPN_RS01585	GO:0071555,GO:0030288
KPN_RS01590	GO:0006865,GO:0042626,GO:0140359
KPN_RS01595	GO:0006865,GO:0042626,GO:0140359
KPN_RS01600	GO:0005524,GO:0016887,GO:0042626,GO:0140359
KPN_RS01615	GO:0005524,GO:0016887,GO:0042626,GO:0140359
KPN_RS01620	GO:0005524,GO:0016887,GO:0042626,GO:0140359
KPN_RS01625	GO:0015803,GO:0042626,GO:0140359
